prompt,chosen,rejected
Where can Consumables be found in Elden Ring?,"Not Craftable Found inside Dragon's Pit. As you enter the dungeon, take the left side past the enemies, until the area opens up, it is found besides an altar surrounded by columns. Beware of the emerging enemies as you get close enough to the item. Castle Ensis : can be looted off a corpse. The body is located in a corridor, lying on the floor","Not Craftable Castle Ensis : x1 can be looted off a body inside an armory room. Fort of Reprimand : In the hanging area and main courtyard, there is a gap on the ground to the left side. Drop down here to find this item on the platform you land on. Lamenter's Gaol : Inside a room on the lower level of the Lamenter's Gaol , hidden behind an illusory wall. In the area you fall through the floor, go up the stairs and into the the first doorway. Roll into the end of the passageway, and use the Gaol Lower Level Key to open the door"
Where can Cookbooks be found in Elden Ring?,"Immunizing Cured Meat Immunizing White Cured Meat Found in Redmane Castle. Through a door in the southwest, past a room with an assassin enemy is an outdoors area with a ladder and a door to the right. The cookbook is in the room to the right. Please note that the doors in Redmane Castle open only after defeating the Misbegotten Warrior & Crucible Knight bosses","Redmane Fire Pot Found in Redmane Castle in the western gate house- specifically the room just to the west of the gate, behind some barrels"
Where can First-Generation Albinaurics be found?,"Plenty of Albinauric Mages can be found on the ground level of Caria Manor. Pidia, Carian Servant is an Albinauric Mage who serves as a merchant and maintains the puppets in the Caria Manor. Several Insane Albinaurics and Caged Albinaurics can be found in the dungeon of Volcano Manor","A few Insane Albinaurics can be found in the lower levels of Leyndell Royal Capital , near the well that leads down into the Subterranean Shunning-Grounds. A few Insane Albinaurics and Caged Albinaurics can be found in Castle Sol , in the room leading up to the area immediately preceding the Boss Arena"
Where can Ghost Glovewort (1) be found in Elden Ring?,"Can be found at the base of the large tree next to the waterfall in Siofra River. Can be found in Tombsward Catacombs in Weeping Peninsula : In the bottom level of the first room with a second floor, near the back. Stormfoot Catacombs : One found behind the second flamethrower pillar. Can be found at the base of the central pillar in a cavern in Ainsel River","Can be found in the water next to the wall in a cavern in Ainsel River. Can be found on the water's edge at the back of a cavern in Ainsel River. Can be found in the water, just beneath ledge housing the Ainsel River Downstream Site of Grace. Can be found behind the central pillar in an ant nest in Ainsel River. Siofra River Well : By the riverbed after the second lift"
Where can Ghost Glovewort (4) be found?,"Found inside Fog Rift Catacombs. After descending the second lift, and dropping down the hollow floor in the room with the magic caster and the spiked roof, found in the sewers of the catacombs","Found at the base of a ledge in Nokron, Eternal City with a corpse on it. Located near one of the Hallowhorn Grounds Altars in Nokron, Eternal City. It can be picked up from the grassy area just at the side of the ruined path. Located near the Regal Ancestor Spirit Boss from Hallowhorn Grounds in Nokron, Eternal City"
Where can Ghost Glovewort (7) be found?,"Found by the base of a waterfall in Nokstella, Eternal City. Nokstella, Eternal City : Found on a riverbank Found near Crucible Knight Siluria in the northwest corner of Deeproot Depths. Deeproot Depths : Upgrade Material. It is found close to the sight where you have to jump off inside a hole and pick up Prince of Death's Cyst","Found in a ruins in northern Uhl Palace Ruins with two large statues at the entrance. Ainsel River Main, behind and to southeast of the Malformed Star miniboss, where the cave wall meets the gate wall. Ainsel River Main, right after the Malformed Star, to the right side of the ruins. Found behind one of the two statues standing by the entrance of a ruin in northern Uhl Palace Ruins"
Where can Golden Rune (2) be found in Elden Ring?,"Can be looted from the open tombs in the gravesite on west Mt. Gelmir. Caelid : Three can be found inside of Gaol Cave. Found on the northwestern sarcophagi of Caelid. Found on the southwestern sarcophagi of Caelid. Siofra River : At Nokron, Eternal City. Within a stream held by a corpse. Ainsel River Video Location","Found on a dead on a wooden platform on the outter side of Stormveil Castle not far from the entrance. Found on a wooden platform in Stormveil Castle , that can be reached by falling from above. x2 Found at the top of Stormveil Castle on a dead body over a platform. Found on a dead body in a room with very long tables one level below the top one of Stormveil Castle"
Where can Golden Rune (6) be found in Elden Ring?,"Found on a body sitting on the eastern battlements. Mt. Gelmir: Can be looted from the open tombs in the gravesite on west Mt. Gelmir. Can be looted from a corpse lying atop a rock pillar connecting Hermit Village to Gelmir Hero's Grave , in Mt. Gelmir","The Shaded Castle : A total of 3 can be found in the castle: Found on a body inside the walls, on top of a broken wooden platform jutting out from the ground. Found on a body sat in front of a series of tombstones in the inner courtyard. Found on a body sitting on the eastern battlements. Altus Plateau : Found over the sarcophagi directly to the south of Sainted Hero's Grave"
Where can Grave Glovewort (3) be found?,The final one is found by dropping down the hole in the alcove where the third glovewort was found to a sewer section where the boss door's lever can also be found. 4x can be found inside the Cliffbottom Catacombs. The first one is found in the large room with the Imp Statue seal - Check the area behind the stairs leading up to the Imp Statue,"In the same room, drop down to the bottom most level and hit the wall under the arch in the back, closest to the stairs to reveal a hidden room. In the next room to the east, near the back. The first one is found in the center of a small room past the hall with the cleaver traps. The second one is found in the second section of the sewer area, after dropping down the ladder"
Where can Grave Glovewort (4) be found?,"2x found in the Wyndham Catacombs : The first is found in the room with the cleaver traps, at the back. The second one is found in the sewer area, right where the Golden Order Knight is fought. 2x found in the Minor Erdtree Catacombs. The first one is found inside the eastern corridor, after descending the lift by the entrance","3x found in the Caelid Catacombs. The first is found on the left side of the scarlet rot-flooded corridor just past the Site of Grace. The second one is found in the room before the boss door, in the corner of the central support. The third one is found in the same room, in the right corner in the back. 3x found in the Unsightly Catacombs"
Where can Grave Glovewort (7) be found?,"Head west from the statue and follow the identical pathway through another set of guillotine traps, another room with Land Squirts and another small room at the end with a Living Jar. The final glovewort is found behind the door frame of this room, on the right","Found at the side of the main road, by a few graves. Stone Coffin Fissure : From the Fissure Waypoint Site of Grace, head south and turn left, you'll find a corpse sitting on a ledge with this item. 1. 6% chance to drop from Bigmouth Imp. 1. 6% chance to drop from Blue Worms"
Where can Haligdrake Talisman 1 be found?,Haligdrake Talisman +3 or Golden Braid : Looted from a corpse found inside the trunk of a large dead tree (the only dead tree) in the Shaman Village of the Scaduview region,"Haligdrake Talisman : Looted off a body in the Stranded Graveyard , on a ledge above the start of the tutorial. There are two ways to reach it: Travel to the Seaside Ruins Site of Grace. Walk south a short distance along the edge of the cliff (just past the crumbling archway). Look down toward the beach below and look for the windstream. Hop on Torrent and simply walk off the edge"
Where can I find Ash of War: Holy Ground in Elden Ring?,"The easiest way to do this is by killing yourself or using the Memory of Grace tool (if you don't care about your runes) to return to the Site of Grace. Alternatively, from the flamethrower pillar room, return to the third Chariot Hall, go all the way down the ramp and turn left into a corridor","Where to find Ash of War: Holy Ground : Obtained inside the Auriza Hero's Grave by destroying three specific Chariots. Doing this involves quite a few steps: From this first Chariot Hall, drop down the openings on either side just before the second ramp. In the room below, head west and up the steps and then turn right in the next corridor"
Where can I find Ash of War: Royal Knight's Resolve in Elden Ring?,"Otherwise, go back to the grace, then walk south, take the pedestal elevator up, go through the opening to the balcony, continue until you see nearby ground below, jump down there, climb the mountain by following the general path northeast until the path turns around and shows you a big lava field","Where to find Ash of War: Royal Knight's Resolve : From the Temple of Eiglay Grace (where you fight the Volcano Manor Godskin Noble), face northeast, go towards that wall, next to you there is a passage leading outside, go through it. You must enter the small building in front of you that only contains an elevator, and ride it up. This requires having unlocked the elevator first"
Where can I find Battlemage Hugues Ashes?,Where to Find Battlemage Hugues Ashes Dropped by Battlemage Hugues (boss) located in the Sellia Evergaol. The best way to reach the evergaol is to travel south east along the cliff from the Dragonbarrow West site of grace. It will be on top of a plateau overlooking Aeonia Swamp,"Elden Ring Map Link From the site of grace, head east on the road until you get to the small lake with dragons (just a bit past the map marker) then turn and head south. When you get to the wall, follow it west and the evergaol will be just ahead to the left"
Where can I find Black Pyrefly in Elden Ring?,"Continue moving to find several shadow enemies, and climb up the crumbling structure to reach the decayed rooftop. There is another shadow enemy there, and beside it is a Black Pyrefly x2. x3 You will find x3 Black Pyrefly on a corpse to the right of the bridge where you encounter a Horned Warrior","There is a hanging body that contains this item. Church of Consolation On the side of the Church. On a dead body, near the broken cart. Abandoned Ailing Village x1 Black Pyrefly can be looted from a body that's lying by the edge of a cliff. Fog Rift Fort x3 Black Pyrefly can be found in the area southwest of Fog Rift Fort, on the lower level where you have to face many Messmer Soldiers. Castle Ensis x3 On the bridge where you fight the magic troll"
Where can I find Bloody Finger in Elden Ring?,Where to find Bloody Finger : Travel to Rose Church after defeating any shardbearer and talking to Enia in the Roundtable Hold for the first time. Speak with White Mask Varré in front of the church. White Mask Varré will give you five Festering Bloody Fingers and ask you to invade other worlds,Varré will give you the Lord of Blood's Favor and instruct you to soak the cloth with a maiden's blood. There are multiple ways to complete this step; Option #1 - Chapel of Anticipation Travel Northwest to The Four Belfries. The highest belfry will have a Imbued Sword Key in a chest. The second highest belfry will transport you to the Precipice of Anticipation
Where can I find Boltdrake Talisman 1?,"Boltdrake Talisman +2 : Found on a corpse hanging off an opening in a tall tower south of the Dragon Temple Rooftop Site of Grace. Reaching this area is a bit complex: You will first need to head southeast to the large plaza guarded by a stationary Farum Azula Dragon , which is constantly raining red lightning all around the area","You will first need to head southeast to the large plaza guarded by a stationary Farum Azula Dragon , which is constantly raining red lightning all around the area. From here, look northeast, then drop down a series of cliffs to the east to reach the opening at the bottom of a large building. Follow the linear path here to a balcony with a ladder leading up to a terrace"
Where can I find Chainlink Flail in Elden Ring?,This is the earliest and more easier way to farm this weapon over the Four Belfries encampment. Simply ride up the stair case to the fort and jump off behind him. Use a high stance damage attack or ash of war to quickly break his stance and kill him. The Pumpkin Head in the encampment north of the Foot of the Four Belfries Site of Grace carries it,"Two can be found Southwest from the Road of Iniquity Side Path site of grace. The first will be with the caravan. Continuing southwest, you will find a second one sitting on a ledge overlooking The Shaded Castle. A Pumpkin Head wielding one can also be found just outside of Fort Haight and can drop it, but he will no longer spawn if the fort is cleared"
Where can I find Clarifying Horn Charm 1?,Clarifying Horn Charm : Found on a corpse lying on the stairs leading to the lift going up to the Deep Siofra Well,"Clarifying Horn Charm +2 : Lamenter's Gaol : After dropping down the small cave infested with rats, continue following the path and go straight. You'll find this talisman on a corpse on the right side once you enter the area"
